Query|Document
end of 2014 do Hot Stone Massage|Hot stone massage uses a combination of warmed stones and massage techniques to relax tense muscles, relieve pain and stiffness, and improve circulation  written last month current date: 1/9/2014
Clean Your Bridge/Earl Piercing 2028 Monsoon|You love your new bridge piercing and want to keep it looking great, right? Keeping your bridge piercing clean will help it heal properly, prevent infection, and help you enjoy it for a long time  Published 6/24/28
Treat PMS with Herbal Remedies February '18|released 02/18/2018  premenstrual syndrome (PMS) is essentially the result of the hormonal changes that occur during a woman’s monthly menstrual cycle.  [1]   These hormonal changes can cause a variety of problems in the body, including depression, mood swings, fatigue, and cramps.
Make Your Vagina Smell Good 2018 April|Posted 04/06/2018  while many women do not like the smell of their own vagina, the fact of the matter is that a healthy vagina doesn't smell bad. A healthy vagina naturally contains a wealth of bacteria which keep it in working order and clean, much like your other internal organs.
01/26 control Excessive Sweating|Although a certain amount of sweating is normal, and even healthy, if you find yourself sweating constantly and profusely you may be suffering from condition known as hyperhidrosis  Created 01/26/09
Make All Natural Deodorant December of 2038|Published 12/04/2038  many people want to control body odor associated with sweating without having to use all of the chemicals found in commercially available deodorants.
Avoid Being Mugged Sep of 2018|While the majority of towns and cities around the world are safe, you might sometimes visit an area with increased crime and the danger of mugging. If this is the case, you need to be careful to safeguard yourself, your loved ones, and your property from theft  released 09/06/2018
Alleviate Foot Pain 2014 Thanksgiving|published last month current date: 1/9/2014  each human foot is comprised of 26 bones, over 100 muscles, and numerous ligaments and tendons.  [1]   If your feet are sore, that indicates a problem with how your foot is interacting with internal and/or external factors.
Clean a Nipple Piercing Jan '38|written 01/19/2038  nipple piercings are very popular and can be a fun way to decorate your body. But the risk of infection is quite high, especially if you don’t take the proper precautions when cleaning your piercing.
April of 2016 treat a Skin Yeast Infection Naturally|Yeast infections are overgrowths of certain species of fungus, most notably Candida albicans.  [1]   Due to lowered immune function and/or very poor hygiene, fungi can grow out of control on skin, particularly in the warm moist folds of the groin, underarms, breasts, and feet  created 04/09/2016
Give Yourself a Facial Massage 2010 Monsoon|Posted 08/11/10  facial massages increase circulation to your facial tissue, resulting in brighter, youthful-looking skin. Facial massages can also help to lift and firm the skin, reducing the appearance of puffiness and wrinkles.
February '36 give a Romantic Massage|published 02/26/2036  romantic massages are more intimate and sensual than the average massage and can really set the scene for a special, relaxing and totally couple-focused time together.
Summer 2048 understand Massage Oils|published 06/16/48  when you first start out learning about massage oils, it can seem a little daunting. However, it isn't as hard as it seems to learn the basics and to quickly come up to scratch on the use and properties of such oils.
2049 Spring make a Temporary Tattoo Last Longer|Temporary by name, temporary by nature, the temporary tattoo is meant to only a short time, from a few days to a few weeks. If you want to prolong your tattoo's life, you can take a few extra steps before and after application to keep your rad design looking bright and fresh  posted march '49
2049 Spring make a Temporary Tattoo With Eyeliner|If you're not ready for the life-long commitment of a real tattoo, or if you're too young to start inking your skin, you can still get creative with body art!  posted march '49
Treat an Infected Ear Piercing August 2003|Piercings can look trendy and cool, but they can get infected if not properly taken care of. This wikiHow will show you how to recognize, treat, and prevent infected piercings  Written 08/18/2003
Mar of 2021 take Care of Infection in Newly Pierced Ears|posted 03/09/2021  infection is a minor risk with virtually  every  ear piercing, but one that can increase with unsanitary piercing practices and/or improper care following the piercing.
Stretch an Ear Lobe Piercing Aug 2015|Earlobe stretching is something that not only makes your ears bigger to accommodate big jewelry; it is also a meaningful journey with your ears. You can see how far your skin can stretch and push your ears to the limit  Written 08/01/2015
February of 2024 make Natural Essential Oil Blends for Massage|posted 02/04/2024  interest in natural essential oils has increased in past decades with the popularity of aromatherapy. Aromatherapy is a branch of alternative medicine that claims that essential oils and other aromatic compounds have healing effects.
Make a Rose Massage Oil Blend 2000 March|A light blend that relies on the softness and sweetness of  almond oil  as the base. Don't skimp on the almond oil; it is what makes this blend special  Posted 03/14/2000
September 2045 get a Tan Tattoo|Written 09/17/2045  one of the worst parts of tanning is unwanted tan lines, but why not take advantage of the tanning process to create tan lines you'll want -- like a tan tattoo.
Make a Fake Nose Piercing Aug '12|If you've been considering getting your nose pierced, there are many factors to consider; maybe you're afraid of the pain, unsure of how you'll look with a new piercing, have metal allergies, or are underage  released 08/22/2012
Make Fake Lip Piercings Aug '12|Have you tried to make lip piercings, but they either don't stay on, or people can tell they're fake? Won't your parents let you get a real one, you're afraid of getting one, or just flat out don't want a needle shoved through your lip  released 08/22/2012
Get Rid of Bumps on Cartilage Piercing 2039 Jun|If you’ve recently gotten a cartilage piercing, you might have noticed painful bumps or swelling popping up around your ear. This type of skin irritation can cause discomfort, and may even lead to a more serious infection if not dealt with the right way  Created 6/11/39
Clean a New Ear Piercing 01/01|published 01/01/44  if you recently got a new ear piercing, you're probably excited to be able to switch out your piercing stud for new styles. Before you can do that, you need to properly clean and care for your new piercing in order to avoid infection.
Get All of Your Boy Scout Merit Badges Apr of 2048|Boy Scout merit badges are a great way to introduce yourself to a variety of sports, crafts, sciences, trades, business, and future careers as you advance in rank  created 04/25/2048
October of 2036 clean a Longboard|created 10/19/36  longboarding is a fun and exciting hobby that requires a ton of skill to perfect. When talking about longboards, there are two variations that include longboard skateboards and longboard surfboards.
Prepare Your Feet for Hiking end of 2044| Some of the most common ailments afflicting hikers start inside the boots. Follow the instructions below to keep your feet happy, heel to toe.   Posted 9/26/44
Turn a Hike Into a Workout September of 2004|Published 09/03/2004  hiking is a great way to take your workout away from the gym. Before you head out on a hike, be sure to plan accordingly. Opting for a hike that includes some uphill terrain and takes at least 45 minutes to complete is a great way to turn your hike into a workout.
July 2016 camp Without a Tent|Keen to go camping but you've either forgotten or chosen to forgo the tent? There are still many options for camping in the great doors without a tent  Written 07/07/2016
December of 2038 use Fishing Lures|Fishing is a global pastime used for sport, recreation and work. A common fishing tool is a fishing lure. Fishing lures come in various shapes, sizes and colors  published 12/21/2038
March of 2029 be the Best Gymnast in Your Level|Wondering how you can improve, and possibly become one of the best gymnasts in your level? Be sure not to aim for the top, but you can certainly get close with this guide  posted 03/26/2029
Make Wooden Fishing Lures July of 2050|posted 07/17/2050  although most plugs and crankbaits today are made of hard plastic, the first plugs were made of wood, and some manufacturers, such as Heddon, make wooden fishing lures today.
Feb 2044 reassemble a Ruger Mark II|Posted 02/19/2044  the Ruger Mark II Target pistol is easy to disassemble, but can be tricky to reassemble. This article aims to simplify the process. If you assembled your Mark II but the bolt won't fully retract, skip to step 9.
July of 2016 practice Drills with Your Handgun|Released 7/5/16  training and drills are the key to being fast in a tense situation. The training of individual movements makes you fast and consistent, and the drills will get you familiar with your own ability (speed and accuracy).
Point Shoot a Pistol (Handgun) 2035 August|posted 08/20/2035  point-shooting is the skill that matches the direction you  think  you are pointing a handgun, to where it is actually pointing. This is a very controversial issue, and the vast majority of professional trainers encourage  flash sighting  as it is many times more accurate, and is only a small fraction of a second slower.
Nov '20 use a Lever Action Rifle|Lever action rifles were invented and popularized around the time of the American Civil War. They operate by using a lever near the trigger to eject and reload the next round  Published 11/03/2020
Oct 2013 make a Cool Camp Bunk|When you're at an overnight-stay summer camp, your bunk becomes your sanctuary. A cool camp bunk can keep you from becoming homesick, help you make friends, and even make sure you have an awesome time  Published 10/23/2013
Change a Crystal Bugger to Flyfish in Saltwater 03/6|Written 03/06/33  the Crystal Bugger fly pattern is noted for catching smallmouth bass, but by changing the size of the hook and using stainless steel, you can have just as much success with this fly in the salt.
Start a Fire Using Just Water Fall 27|If you're wondering whether it's possible to start a fire with water, surprisingly enough it is. All it takes is a little ingenuity in containing the water and using it as a form of amplifier to capture light, in order to encourage a little spark  posted october of 2027
Mar of 2004 disassemble a Glock|If you own a Glock pistol, it is important that you know how to disassemble it to perform general maintenance. While there are many different types of Glock pistols, you can disassemble them all in much the same way  posted 03/18/2004
2004 Dec sight the Scope of a Rifle in and Zero It|Released 12/04/2004  to get the most accurate shots on the range and in the field, sighting your scope is the only way to shoot. Sighting can sometimes be a difficult and time-consuming process, but it doesn't have to be.
Maintain a Rifle 2007 November|Published 11/22/2007  properly maintaining a rifle is an obvious step for any gun owner, but when the rifle is your personal or home defense weapon, it is absolutely necessary!
May '24 disassemble/Reasemble an M14 Service Rifle|Published 05/10/2024   It is easy, and very possible to disassemble and reassemble an M14 Service Rifle in under 60 seconds. Here's how. Exercise caution. 
New Year's Day '34 choose Therapy Camps for Kids with Special Needs|For many kids, going to summer camp is a wonderful experience, although one often mixed with some anxiety for both child and parent. Kids with special needs can derive at least as much enjoyment and enrichment out of a camp experience, but the anxiety levels may be even higher  published end of last year current date: 9/25/2034
Bake a Cake Inside a Hollowed Orange over a Campfire Feb 2012|Published 02/07/2012  everybody loves cake, and it’s a common dessert for birthdays, get-togethers, and other celebrations. But cake isn't just a fancy treat for special occasions, and you can even bake your favorite cakes over a campfire in a hollowed out orange.
2038 Dec make a Lighter|There are a variety of  ways to start a fire . This article will how you a couple of creative and unusual ways to make a flame safely on your own. This activity is fun and entertaining in a romantic sort if way, for family and friends  released 12/22/2038
7/26 make a Chimney Starter (Charcoal Starter)|Using a chimney starter is a great way to get your barbecue lit  without using lighter fluid . You can make your own with items you probably have lying around the house already  written 07/26/18
7/26 make a Toilet Paper Wick Heater|How to make a very cheap and effective heater from simple supplies (1 full roll of toilet paper, 1 pint of rubbing alcohol, and an empty small tin coffee can w/ lid)  written 07/26/18
2022 Jan be a Great Camp Counselor|So you've decided to become a counselor? Being a camp counselor is an unforgettable experience. With these tips and a genuine love of what you do, you'll be everyone's favorite counselor in no time!  Posted 01/03/2022
Summer '20 clean Dishes on a Camping Trip|It can be frustrating to find a way to do dishes while you're camping. It's important to wash dishes thoroughly, however, as this helps prevent the spread of bacteria and keeps your campsite clean  posted 8/11/20
2035 Summer set Up a Tent|written 8/1/35  we've all been there: It's getting dark, it's cold, a wind's coming up, and you've got to sleep outside tonight. Pretty much the worst time ever to forget the tent instructions.
New Years 2026 take a Shower in a Tent or Camper|written 1/1/26  are you camping somewhere with no shower facilities, or long waiting lines? Are there people around so you can't take a naked shower outdoors? You don't have a shower shelter, or don't want to bother setting it up?
Monsoon 27 keep a Fire Burning|Building a fire  for a  camping trip  or at home in the  fireplace  can be cozy and a great way to naturally heat your campsite or home. When your fire starts to dwindle, you can easily build it back up and keep your fire burning by adding new material like kindling and new logs  Published 07/07/27
Sep of 2011 build an Aboriginal Plains Style Tipi|This is how most tipi frames are put up and is based on a 12 foot (3.7 m) tipi, for larger tipi types the measurements are the same. You will need two people to put up the frame but an experienced person can do this by themselves  written 09/11/2011
Sep of 2011 build a Survival Shelter|There are many kinds of survival shelters, but this is the easiest, most efficient shelter for most wooded areas; especially coniferous. Please note that many environments may not provide the resources you need to build this shelter, and that while this practical, easy shelter is applicable to many areas in the United States, (and almost anywhere else with trees) no one shelter is the end all, be all shelter.*  written 09/11/2011
Teach Cartwheels Jun '32|Maybe you’re an expert cartwheeler, able to go around and around in a big cartwheel circle. But you aren’t sure how to teach your students, your friends, or your siblings how to do a cartwheel  Created 06/04/2032
Teach a Child a Standing Backbend 2022 April| Have you ever looked at someone doing a back bend and envied them? While you now can learn how with this step-by-step article.   Published 04/13/2022
Trek to Triund Hill November 2019|posted 11/23/2019  this article will guide you on how to reach or Hike to Triund Hill without burning your pocket. One can access or Trek to Triund Hill and Laka or Illaqa in McLeodganj, Dharamsala, and Himachal Pradesh.
Fall 2033 do a One Armed Handstand|An one armed handstand is a cool, but difficult gymnastics skill to do. It can be very tricky, but very fun! This article can give you some tips for an one armed handstand!  written 9/18/33
Do a Front Handspring Summer 2038|The front handspring only takes a few seconds to execute, but it requires many hours of practice to get it right. Before you try a front handspring, you should be comfortable doing a handstand and front walkover, and it is required that you have a strong upper body  Published 08/17/38
2003 New Year's Day do a Double Back Handspring|Once you master a single back handspring, you are ready to learn a double back handspring. This article assumes that you have truly  mastered  the single back handspring; if you have not done so, you should  not  attempt the double as it could result in serious injury  posted 1/10/03
Improve Your Over Splits Safely Jun of 2007|published 06/12/2007  can you already do the splits, but now you want to go further? You can get scared of injury when it comes to over splits, but if you do it step by step, and safely, you'll get it soon or later.
Get a Fishing License in Ohio 2036 Sep|Written 09/11/2036  ohio offers many opportunities to fish recreationally. The Ohio Department of Natural Resources and the Division of Wildlife work together to protect the environment and the many species of fish and wildlife that call Ohio home.
Protect Your Catch from Sharks Feb of 2046|This article is about the fishing practices of Chuuk fishermen, in Micronesia, who are at one with the ocean and for whom the ocean sustains them. They fish not for sport but for protein  released 02/07/2046
Spear a Fish Feb of 2046|Spearfishing requires concentration, good technique, patience, and the right equipment in order to effectively hunt and spear fish underwater. Whether deep in the ocean or in shallow water near the shore, spearing a fish is an exciting, although sometimes dangerous sport that can provide a sense of accomplishment once you have obtained your prey  released 02/07/2046
Dec '43 snell a Hook|published 12/23/2043  snelling a hook means tying the hook to your line by inserting the line through the hook eye and then wrapping it around the hook shaft. It was originally developed for eyeless hooks and is commonly done today with hooks with an offset, or angled, eye to ensure the pull of the line aligns with the hook’s point.
Dec '43 skate an Artificial Caddis Fly|"published 12/23/2043  in fly fishing, ""skating"" a fly across the surface of the water is a way to entice trout to bite, when they are reluctant to bite your fly when it's presented in the normal ""dead drift"" fashion."
July 2000 put Fishing String on a Microspin Fishing Pole|Microspin is the registered trademark of Pflueger for its ultralight spinning reels; the term is sometimes used generically by other fishing tackle companies for their ultralight rods and reels  released 07/23/2000
Oct 2029 set Up an Ice Fishing Tip Up|Tip-ups are to ice fishing what trot lines are to river bank fishing for catfish, a way to present live bait to fish without holding on to a rod. Tip-ups allow ice fishermen to fish multiple holes at the same time, fish various depths at once, or work various positions on drop-offs or other bottom structures  Released 10/15/2029
Set up a Fishing Pole for Bass Fishing Aug '26|For most freshwater fishermen, bass is the ultimate quarry. Anglers pursue the rugged game fish for the fight it puts up when hooked and the delicate flavor it yields when grilled  released 08/10/2026
6/9 set Up a Fishing Pole|Fishing can be a complex sport depending or simple hobby depending on the individual. Regardless of how you like to fish, there are some key elements you must remember when setting up a fishing pole  Published 06/09/44
Run a Fishing Tournament Jan 2045|Posted 01/08/2045  the sport of fishing is usually about the struggle between man and fish. But occasionally, the battle shifts to man against man. Fishing tournaments are an excellent way to gather the best anglers together for a friendly competition, with prizes—and bragging rights—at stake.
Rig a Speargun May '09|Fishing is done not only from the shore or a boat using a rod and reel, but it also can be executed in the water with a spear. Spearfishing is accomplished by getting into the water with the fish and hunting them with a speargun, which is a spring-powered gun that fires spears  posted 05/26/2009
Maintain a Fishing Rod 2012 October|Most graphite, carbon fiber, or fiberglass fishing rods are so strong you can fight a big fish with a light rod, but so fragile a nick can lead to breakage  posted 10/09/2012
Handle  Fish With Care Spring 25|Released 04/23/25  delicate fish must be handled with care. This article tells you how to handle all kinds of fish, whether fresh or salt water, so they will be still and not injure themselves.
2009 April gut a Trout|Created 04/09/2009  fishing for trout? Learn how to gut a trout so you can cook and eat your catch at home. Follow the instructions in this article to make sure that you know the right way to catch and gut a trout.
Fish With Lures 2048 Summer|Written 06/15/48  artificial bait or fishing lures have been used to catch fish since 2,000 B.C. Made from a wide variety of materials, colors, sizes, and styles, lures are used to attract fish and convince them to bite the into the attached hook.
September 2011 fish in a River|Fishing in a river can be hard since a river usually has a fast current, and they are different from fishing in calm quiet creeks, lakes, and oceans  Posted 09/04/2011
Do a Running Front Flip Feb of 2028|"written 02/11/2028  this article will explain how to accomplish a running front tuck (also known as a ""front flip"", a ""punch-front"" or a ""front somersault""), a staple skill in  gymnastics ."
2002 August backflip off a Raised Platform|written 08/18/2002   This guide is how to do a backflip off of a raised object, such as a platform or riser. 
Jun 2028 do a Right Split|released 06/01/2028  so you look and see these people doing these amazing stunts right before your eyes. Most likely one of the amazing actions is based on what we call a split.
Find a Good Bass Fishing Spot 2007 September|There are three types of bass that anglers target most frequently. These are: Largemouth, smallmouth, and striped bass, (or stripers for short). To find a good bass fishing spot, you'll need to know what the fish like and then follow their lead  Written 09/25/2007
2015 Aug prepare for an Overnight Hike|Released 08/12/2015  you want to know what it takes to  hike  overnight in a cooler climate? Maybe you've been invited on an overnight hike in to a lake that is 5 miles (8.0 km) from a trail head and are wondering what to bring and how to prepare?
2015 Aug prepare for a High Altitude Hike|Released 08/12/2015  hiking at altitudes higher than 6,000 feet (1,828 m) is more difficult than hiking at low altitudes. This is because at this point, the air contains less oxygen than it does at lower altitudes.
Pick a Good Backpack 2006 Fall|posted 10/15/06  will it hold up? How much can it carry? Are there enough pockets? There are questions that a person can ask when purchasing a backpack and this article will show you some simple steps to take when selecting a good one.
11/28 pack a Hiking Backpack|Released 11/28/34  if you're planning a long hike, you'll need to bring along a backpack with food, water and other survival supplies. Instead of just tossing your gear into your pack, take time to plan out what goes where.
1/7 pack for an International Backpacking Trip|Backpacking can provide a great way to see the world. There's a freedom associated with a backpacking trip you can't get with other types of travel  Created 01/07/44
Urban Camp Solo April '07| Traveling anywhere, and want to save money or can't get hotel reservations? Urban camping is the answer to that.   Released 04/26/2007
Use Solar Energy While Camping April '07|Who wouldn't want a few modern conveniences while away enjoying the great outdoors? Thanks to solar energy technology, campers can up their comfort and convenience level a bit by packing some solar powered items  Released 04/26/2007
March '36 shoot Skeet|Shooting at clay targets a few inches wide as they fly past you in two different directions at fast speed? And actually hitting them? It's a thrill like none other, and can prove to be an addictive sport when you take the plunge  created 03/10/2036
Fall '17 use a Gun (Women)|"You ""represent"" one of 52% females in the population, many of whom have received firearms instruction -- and you may quickly become potentially safer and can more comfortably handle, legally own, and use firearms for sport or protection  Written 11/05/17"
Fall '17 make Fire Starters with Paper Rolls and Dryer Lint|Need to light a campfire in your backyard or trying to get the fire roaring in the fireplace? Instead of wrestling with your lighter and newspaper, make these handy fire starters that can be used at home or on the road  Written 11/05/17
Stack and Protect Firewood for Winter 2048 Summer|When it's time to stack and protect firewood for winter, homeowners and others might be wondering about how to properly store cords of wood for best use during snowy, cold months  released 8/15/48
New Year's '25' sell Firewood|Selling firewood may not make you rich, but if you know what you're doing, it can provide you with a small to moderate supplementary income that will remain stable throughout the cold weather season  Released 1/09/25
2047 Oct dry Firewood|Freshly cut wood retains a lot of water, which makes lighting and sustaining a fire very difficult. Even if it does burn, wet wood gives off less heat, dies quickly, and creates more smoke and soot  Created 10/09/2047
Chop Wood April of 2015|Many people look at the sharpened wedge at the end of a handle and think there's nothing to chopping wood. You simply take your axe in hand, bring it up over your head, and swing, right  Published 04/19/2015
Make a Fire Starter Using a Straw 2043 Jun|Planning a camping adventure in the woods with the family and forgot your pre-treated wood burning logs for the campfire at home? If your “rubbing two sticks together” skills aren’t up to snuff, have no fear  Created 06/01/2043
Shoot a Shotgun 2043 Jun|Shotguns are used primarily for hunting birds and other small game, as well as for sport in skeet shooting. They come in a variety of sizes and styles  Created 06/01/2043
Clean Fishing Lures 09/13|released 09/13/04  a lot of fishermen treat lures as disposable.  [1]   Water, especially saltwater, can corrode them, slowly making them unusable. But with some simple maintenance, you can extend the lives of your lures.
Aug of 2049 clean Crappie|After a long day on the river, there’s no better reward than bringing back a haul of fat, delicious crappie. But your work isn’t complete until the fish have been dressed and are ready for the frying pan or the freezer  Posted 08/12/2049
Make a Bamboo Staff September of 2028| Bamboo staffs are great. They're easy to make, and perfect for hikes, etc.   created 09/10/2028
Clean a Fish September of 2028|Cleaning a fish is quite simple, though it isn't always pleasant. That said, after you've got the first one done and have tasted the glory of freshly-caught fish, you'll forget all about the bit of blood and guts  created 09/10/2028
Hardflip October of 2043|The hardflip is a combination of a  frontside shove it  and a kickflip, but the way you kick causes the board to flip between your legs. In order to do a hardflip, you need to know how to do these other tricks first  Posted 10/05/2043
Replace Skateboard Bearings October 2024|Sometimes, skateboard bearings need more than cleaning. Sometimes they get rusted or pitted beyond repair and you have to replace them. Here's how to replace your skateboard bearings yourself  Published 10/15/2024
Inward Heelflip October 2024|An inward heelflip is essentially the combination of a pop shove-it and a heelflip. The trick is performed by popping your board up in an ollie like maneuver, then flipping the board with your front heel while scooping the tail of the board to cause it to rotate  Published 10/15/2024
Jan 2023 replace a Skateboard Truck Kingpin|released 01/02/2023   This article describes the process involved in replacing the broken kingpin of a skateboard truck. 
Mar 2022 do a Hardflip on a Skateboard|A hard flip is the combination of a front side pop shove-it and a kick flip. Most find this trick easier to perform when the board passes more between the legs rather than under the feet  created 03/06/2022
Do a Bert Slide on a Skateboard Jun of 2042|It's really easy if you have seen the movie  Lords of Dogtown . It's a bert slide. It was first invented in surfing and is really called a Bertleman Slide or a Layback Slide  written 06/17/2042
2028 Apr protect People During a School Shooting|Written 04/22/2028  the main goal during a school shooting is to save yourself. However, protecting yourself and some other people will make you a true hero. Hopefully, there won't be a shooting at your school, but this article will show you how to protect people just in case.
September 2031 catch Wahoo|Wahoo are some of the toughest pelagic predators on the face of the planet—they can streak through the water upwards of 60-mph, they have teeth as sharp as razors, and they fight like a wounded rhino  Written 09/06/2031
Hold a Golf Club 2023 New Year's|There are several ways to hold a golf club, but the technique you choose should be the one that feels comfortable to you. Any of these fundamentally sound grips will help you to hit the ball straight and maximize your distance, or increase precision on your short game  published 1/6/23
2029 Monsoon fix a Golf Hook|released 07/1/29  a golf hook is a problem with a golfer's swing; however, a hook actually means that you’re well on your way to dependably hitting impressive shots.  [1]   Even good drivers can unintentionally develop a hook that needs correction.
2029 Monsoon cure a Golf Slice|released 07/1/29  golf is a competitive game of precision and patience. Setting up for a great shot and then having it slice can be a cause of frustration to even the most levelheaded golfer.
Always Get out of a Green Side Bunker 2043 October| Make sure you get out of a bunker next to the green every time, no more sculling over the green or have it dribble back to your feet.   Published 10/11/2043
Sep 2009 pack for a Camping Trip| This guide will show you on how to go for a fun camping trip on summer vacation.   posted 09/14/2009
Ride a Snakeboard/Streetboard 2035 Jun|created 06/20/2035  streetboarding (formerly known as snakeboarding) is a unique and very addictive extreme sport; combining all the core elements of snowboarding, skateboarding and surfing into the one fluent movement.
April of 2024 make a Survival Kit out of an Altoids Tin|This is a small, handy kit is a must have for anyone who goes into the outdoors. It is small enough to fit into a pocket and can help you survive until help comes  Posted 04/17/2024
Make a Wilderness Survival Kit New Year's 2020|Whether you are preparing for an emergency situation, or packing for an extended backpacking trip, putting together an effective wilderness survival kit is all about the essentials  published 12/30/19
Make a Simple Firestarter 1/29|Published 01/29/22   Any good camper or backpacker knows the importance of a good fire starter. Now you can make your own fire starter using common household materials! 
01/8 make a Pit Toilet| Have you ever gone camping in the wide open spaces with no bathrooms? Have no fear!   Released 01/08/09
2050 June ollie While Moving|created 06/26/2050  the ollie is the most basic and fundamental aerial skateboarding trick, but that doesn't mean that it's easy. If you want to develop your skate trick skills, the ollie is absolutely essential.
January '42 ollie Higher on a Skateboard|posted 01/25/2042  if you want to know  how to ollie  higher on a skateboard, then you have to already know how to perform a basic ollie, which requires you to slide your front foot forward and stomp down, popping the board up to get a little bit of air.
Oct '40 make Gunpowder|Gunpowder, also called black powder, is a simple mixture of saltpeter, sulfur, and charcoal. The trickiest part of making black powder is sourcing these three supplies  written 10/08/2040
Spin a Golf Ball 4/30|Written 04/30/04  backspin on a golf ball causes it to spin backwards as it travels through the air, making the ball back up after hitting the ground. This is an especially useful technique when dropping your ball onto a green that has a hole nested in a sand trap.
Catch Prawns New Years 2010|Prawns are a water-dwelling animals similar to large shrimp or small lobsters. Like shrimp, they’re usually red-orange with fanned-out tails. They’re popular for cooking and for using as bait to catch larger fish  written january 2010
Use a Game Camera Hunters Trail Camera January of 2045|"Written 01/26/2045  how can you use a game camera (also called a trail camera)? It is sold for hunters who are ""not"" at or around a place; so it is a type of  remote camera ."
Trap Mink 2039 Dec|Trapping is vital to keeping the wetland ecosystem balanced. Trapping helps manage mink populations that can became overpopulated very quickly. Although mink are not as difficult to catch as other fur bearers, they still pose a challenge  posted 12/22/39
Train Your Dog to Hunt 2039 Dec|Ever been waterfowl hunting with a bird dog? There is nothing quite like hunting near a lake on a frozen winter day, shooting a duck, and have your dog swim out in the near freezing water to collect your prize, and swim back to shore with duck in his mouth  posted 12/22/39
Yield to a Horse on a Multi Use Trail middle of 2043|Multi-use trails are frequent in public parks and recreation areas, and they commonly have horse riders, bicyclists, hikers, and runners all sharing the trail  Written 7/18/43
2000 New Year's Day make Skateboard Wax From Petroleum Jelly|Are there any skaters out there who want to save money on wax? Do you want to make as much wax as possible without busting your pockets? If you don't know how, then read this article and you'll be making wax in no time!  Posted beginning of last year current date: 8/19/2001
2021 Oct hang a Hammock Indoors|Posted 10/24/2021  these instructions will walk you through the process of hanging a hammock indoors. First, you need to know where you want to hang your hammock. Then you can find the studs closest to that location and mount the eyelets to the studs and hang your hammock.
March of 2009 run a 3200M Track Relay|The 3200M or 4x800 relay is the relay in which each team member runs two laps around the track or 800 meters, making it 3200 meters in total. Running it successfully takes preparation, individual dedication, and teamwork  Released 03/24/2009
2045 October win a Cross Country Race|Running is not only a great way to stay in shape, but it can also be a very fun sport. Whether your a running veteran or a novice about to run your first race, these basic tips can go a long way in helping you win  Created 10/14/2045
Mar '27 long Jump|Written 03/26/2027  the long jump, at first glance, looks like a very simple sport. You simply run and jump into a sand pit; however, this sport is far more technical than most people would assume.
Train for a Tough Mudder 09/26|Published 09/26/15  a Tough Mudder is a 10 to 12-mile obstacle course and race designed to test physical and mental strength and endurance. Anyone who enters a Tough Mudder event should already be in good physical condition; however, adding extra running and high-intensity Tabata and plyometric routines will improve your chances of finishing.
Triple Jump 09/26|Published 09/26/15  aNYBODY can triple  jump , however, to do it properly with the right form and technique requires guidance and help. It takes time and effort and it certainly does not happen overnight.
Train for a Half Marathon After a Heart Attack 10/25|It is hard to overcome the pain and debilitation of a heart attack. Getting back on your feet to run or walk a half marathon is a brave and courageous decision; however, it is a decision that should be made with your doctor and with a thorough understanding of the risks and benefits of exercise after a heart attack  published 10/25/23
High Jump Using the Fosbury Flop Apr of 2013|Posted 04/08/2013  the High Jump is a track and field event in which you must jump over a horizontal bar at different heights. For high school girls, the heights usually begin at 4 feet (1.2 m) and increase by 2 inches (5 cm) after the athlete clears the bar.
Nov '30 win a Race|Training for a race can be a very exciting and satisfying endeavor--winning that race is even more satisfying. To prepare for a race, you'll need to train well, create a race-strategy, and know some insiders tips to winning a race  published 11/01/2030
Sprint 100 Meters 2030 July|The 100m sprint is one of the most common running competitions someone can do. It is common in high school competitions, collegiate competitions, and national and Olympic competitions  published 07/22/2030
November '49 run the Mile in Junior High|It's often required that you run the mile in Junior High. However, this isn't so easy for a lot of people, and they end up dreading it. You may find yourself falling behind, wondering how everyone else is doing it  published 11/03/2049
Run Longer Without Giving Up 11/1|created 11/01/37  running is one of the most popular endurance sports on the planet. It requires not only the physical strength to run for a long time, but also a strong, persistent mind that is willing to keep running even when your body is screaming for you to stop.
Train for a Mile Jul '31|If you're trying to work your way up to  running the mile , you might want to start with some training to prepare you. This article suggests the workouts to try, along with a regime of practice laps to train you for the real thing  published 07/21/2031
Run for Longer December '31|Perhaps you are determined to improve your overall fitness, or really hope to complete a half-marathon, or just want to better your odds of catching the bus to work as it pulls away  written 12/06/2031
Win a Running Race Dec '33|created 12/04/2033   Competing in a  running   race ? Nervous? Afraid of not winning? Read the article for advice. 
Run a Faster 800m November 2047|Published 11/24/2047  if you’ve hit a plateau in your 800m (~1/2 mile) time, you can adjust your training to break through your wall and run a faster 800m. With the proper training and diet, you can increase your personal record and improve your run.
Run a Faster 1500M November 2047|Published 11/24/2047  the 1500m race is one of the longer races in track. Since it is a longer run, having the correct form is very important. Running properly will help you conserve energy and run more efficiently, as well as faster.
Run a 20:00 5K Jan '01|No matter how in shape you think you are, running a 5K can still be a trying experience. If you're determined to run a 5k in 20 minutes, here are some steps that will help you perform your best on race day  Released 01/12/2001
February of 2042 run a Fast Half Mile|written 02/24/2042  the half mile (800 meter) run is one of the most difficult yet rewarding races. In the half mile, one must sustain a very fast pace, for a long amount of time.
